Title,Location,Price,Description,Attributes,Post ID,Post Date,Update Date,Notice,Url
USB to USB Type C Adapter, (Westminster),$8,QR Code Link to This Post   2 packs USB to USB Type C Adapter. Connect your smartphone or any usb type C devices to USB. $8. Text to buy  show contact info . Pick up in Westminster city.,"['condition: new', 'make / manufacturer: Benfei', 'mobile OS: apple iOS', 'model name / number: USB type C to USB Adapter', 'size / dimensions: 1 inch']",post id: 7406827235,posted: 2021-11-11 21:11,updated: 2021-11-27 17:20,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/westminster-usb-to-usb-type-adapter/7406827235.html
Mini Magnetic Wireless Power Bank Charger - QC 3.0 Pd 20W - 5000mAh, (Los Angeles),$18,QR Code Link to This Post   New magnetic power bank 5000 mAh. Available in Colors: Green/ Gray/ Blue.  Each for $18.00   •	Best way to reach me is by texting – text – texting me back to  show contact info  or just reply back to this post. •	I accept Venmo and CASH. •	Hablo Espanol tambien.  •	Please keep communication going. •	Please let me know in advance. Thank you,"['condition: new', 'delivery available', 'mobile OS: other', 'model name / number: Power Bank', 'size / dimensions: 5000 mAh']",post id: 7413489768,posted: 2021-11-27 17:19,,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sfv/mob/d/los-angeles-mini-magnetic-wireless/7413489768.html
Android Cell Phone Alcatel Raven A574BL, (Los Angeles),$25,QR Code Link to This Post   Mint condition  Bought off ebay but never applied phone service to it   I keep it sitting at my desk streaming Spotify   For more information about the phone search Alcatel Raven A574BL  Follow me on YouTube for great hip hop music   YouTube.com/normalnotallowed   🙏🙏🙏,"['condition: like new', 'mobile OS: android']",post id: 7401117415,posted: 2021-10-29 23:13,updated: 2021-11-27 17:18,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sgv/mob/d/los-angeles-android-cell-phone-alcatel/7401117415.html
iPhone X 256 Gb Unlocked, (La Jolla),$299,"QR Code Link to This Post   iPhone X 256 Gb. silver perfect condition  All new never used original accessories, box and original receipt  Cash/ pick up at 8800 Lombard pl., San Diego","['condition: excellent', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone X 256 Gb']",post id: 7413488667,posted: 2021-11-27 17:15,,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/san-diego-iphone-256-gb-unlocked/7413488667.html
Get some money $ for your used iPhone or galaxy new or used !!, (San Diego),"$690,000",QR Code Link to This Post   Get some money $ for your used iPhone or galaxy new or used !! 619 636-1111,['mobile OS: apple iOS'],post id: 7413489378,posted: 2021-11-27 17:17,,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mod/d/san-diego-get-some-money-for-your-used/7413489378.html
Samsung galaxy Z fold3 5G 256gb unlocked factory seal, (stanton),"$1,338","QR Code Link to This Post   Samsung galaxy Z fold3 5g 256gb phantom black, Unlocked, brand new factory seal.. $1388  pls txt 714 600 9eight99  pick up and cash only.","['condition: excellent', 'make / manufacturer: samsung', 'mobile OS: android']",post id: 7402802858,posted: 2021-11-02 20:25,updated: 2021-11-27 17:01,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/stanton-samsung-galaxy-fold3-5g-256gb/7402802858.html
iphone 12 pro max clear rubber case by Speck*, (valley glen),$5,QR Code Link to This Post   iPhone case  iphone 12 pro max clear rubber case by Speck*,"['condition: like new', 'make / manufacturer: Speck', 'mobile OS: apple iOS', 'model name / number: 12']",post id: 7411882679,posted: 2021-11-23 12:03,updated: 2021-11-27 16:59,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sfv/mob/d/sherman-oaks-iphone-12-pro-max-clear/7411882679.html
Samsung a12,,$30,QR Code Link to This Post   Perfectly working and like new Samsung A12 have no need for it comes with free hard protection case valued at $200,"['condition: like new', 'mobile OS: android']",post id: 7413479212,posted: 2021-11-27 16:43,,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/lac/mob/d/venice-samsung-a12/7413479212.html
iPhone 12 Mini T-mobile 64GB, (Mission Valley),$480,QR Code Link to This Post   For sale is an iPhone 12 Mini 64GB.  For use on Tmobile only(not unlocked) Phone still has 100% battery life Purple color. very nice condition  Includes charging cable and brick Asking 480$ Or best offer. NO TRADES,"['condition: good', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone 12 mini']",post id: 7413483340,posted: 2021-11-27 16:57,,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/san-diego-iphone-12-mini-mobile-64gb/7413483340.html
2 NEW Lumee Xs Max IPhone Cases, (Chula Vista),$60,"QR Code Link to This Post   NO LOW BALLERS   Both cases are brand new never opened or used. Comes with charger.  This is for iPhone XS Max  Description:  Goodbye do-overs. Hello Duo. Good lighting is essential to looking your best. The Duo provides front and back facing lights for creating all types of mobile photos and videos. Whether you are shooting a video, facetiming, or just aiming for the perfect selfie, the bright, high-quality light on the Duo balances out uneven, unflattering back-light, making you the focus. Simple and easy to use, it is a mobile lighting studio at your fingertips. #LITBYLUMEE  Strong Protection + Soft Rails For Easy Removal Studio Lighting-30 Minutes of Full Brightness Variable Dimmer With Tapering Light Technology Durable Finish Rechargeable Battery Pass-Through Wireless Phone Charging Wrist Strap Included  $60.00 each  Serious Inquires Only   NO LOW BALLERS",['mobile OS: apple iOS'],post id: 7409439557,posted: 2021-11-17 18:18,updated: 2021-11-27 16:51,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/ssd/mob/d/chula-vista-new-lumee-xs-max-iphone/7409439557.html
Apple Airpods Pro, (Irvine),$150,"QR Code Link to This Post   Apple AirPods Pro in open box, with original packaging and accessories. Buy with confidence-genuine Apple",['mobile OS: apple iOS'],post id: 7413480433,posted: 2021-11-27 16:47,updated: 2021-11-27 17:21,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/irvine-apple-airpods-pro/7413480433.html
Moto G Stylus GSM Unlocked Mint Condition, (Topanga),$150,"QR Code Link to This Post   Moto g stylus GSM unlocked (won't work with Verizon) in the box, in mint condition with case. Beautiful reflective indigo blue color. 4GB RAM, 128GB storage and a 48 Megapixel camera. Ready for use.","['condition: like new', 'make / manufacturer: Motorola', 'mobile OS: android', 'model name / number: Moto g stylus']",post id: 7413479099,posted: 2021-11-27 16:43,,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/wst/mob/d/topanga-moto-stylus-gsm-unlocked-mint/7413479099.html
iPhone 7 Plus AND brand new UE ROLL wireless bluetooth speaker, (Glendale),$275,"QR Code Link to This Post   Bundle deal - for sale is an iPhone 7 Plus 32GB in excellent condition with never used original EarPods and a new sealed UE ROLL wireless bluetooth speaker. I am the original owner of the phone which was bought directly from apple and therefore is unlocked and can be used with any carrier. The phone is in great condition, everything is original and works perfectly fine, no flaws whatsoever. Battery health is at 88%. Upgraded to a new phone and have no use for this one. Serious inquiries only, lowball offers will not be responded.","['condition: excellent', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone 7 Plus']",post id: 7408133810,posted: 2021-11-15 01:05,updated: 2021-11-27 16:40,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sfv/mob/d/glendale-iphone-plus-and-brand-new-ue/7408133810.html
"Apple iPhone 6s 32GB - Wow, almost FREE", (South Pasadena),$120,"QR Code Link to This Post   Apple iPhone 6s 32GB - WOW, almost FREE. Apple iPhone is the top name in Mobile Phone, Computer, and electronic equipment.  Just recently disconnected T-Mobile service.  Includes Screen Protector and Otter Box Case.  Great condition, no cracked screens here, and only needs a new battery, $49 at Apple Store.  Save big $s and why pay full price.  Ideal for as a First Phone for Teenagers or Seniors.  Originally cost $699.99+tax at Costco.  Pick it up and get connected.  Near Huntington Dr. and Atlantic Blvd in South Pasadena.","['condition: excellent', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone 6s']",post id: 7412352794,posted: 2021-11-24 14:19,updated: 2021-11-27 16:32,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sgv/mob/d/alhambra-apple-iphone-6s-32gb-wow/7412352794.html
Apple iPhone 7 / 32gb / GSM Unlocked / Rose Gold, (Anaheim),$150,QR Code Link to This Post   Apple iPhone 7 32gb GSM Unlocked Rose Gold Great condition. Battery Health = 90% No accessories $150 Firm No offers!  show contact info,"['condition: excellent', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: A1660']",post id: 7405342258,posted: 2021-11-08 14:08,updated: 2021-11-27 16:31,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/stanton-apple-iphone-32gb-gsm-unlocked/7405342258.html
Galaxy note 20 ultra 5G unlocked for all carriers, (Pomona),$750,"QR Code Link to This Post   Up for sales, a like new and no scratch Galaxy note 20 ultra 5G, 128GB, 12GB Ram, mystic white, unlocked by Samsung for all carriers in the US and around the world Model SM-N986U1.  The phone is like 100% new with screen protector on since day 1 and always in the case, not a single scratch, no Nick whatsoever.  You will get everything in the box and accessories that came in the box plus kickstand case as seen in pictures (picture is kind of reflection in background).  *pick up only!! No scammer!","['condition: like new', 'make / manufacturer: Galaxy Note 20 Ultra 5G', 'mobile OS: android', 'model name / number: SM-N986U1']",post id: 7411426587,posted: 2021-11-22 11:35,updated: 2021-11-27 16:30,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sgv/mob/d/pomona-galaxy-note-20-ultra-5g-unlocked/7411426587.html
Apple iPhone 8 / 64gb / T-Mobile / Space Gray / Mint condition, (Anaheim),$240,"QR Code Link to This Post   Apple iPhone 8 64gb Space Gray T-Mobile Mint condition. No dings, cracks, or dents. Phone only. No charger.  $240 show contact info","['condition: like new', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: iPhone 8 - mq6v2ll/a']",post id: 7401807333,posted: 2021-10-31 15:37,updated: 2021-11-27 16:29,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/stanton-apple-iphone-64gb-mobile-space/7401807333.html
NEW: Apple Earbuds with Lightning Connector (wired earphones), (Los Angeles),$16,QR Code Link to This Post   New Apple Earbuds.   (This are wired earphones) Each for $16.00   ·Best way to reach me is by texting - text - texting me back to  show contact info  or just reply back to this post. ·I accept Venmo and CASH. ·Hablo Espanol tambien.  ·Please keep communication going. ·Please let me know in advance. Thank you,"['condition: new', 'delivery available', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: Wired Earbuds', 'size / dimensions: iPhone Lightning Connection']",post id: 7413474346,posted: 2021-11-27 16:27,,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sfv/mob/d/los-angeles-new-apple-earbuds-with/7413474346.html
iPhone 8 is for sale,,$200,QR Code Link to This Post   iPhone 8 is for sale. It works well！,"['condition: good', 'mobile OS: apple iOS']",post id: 7410658727,posted: 2021-11-20 13:19,updated: 2021-11-27 16:26,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sgv/mob/d/rosemead-iphone-is-for-sale/7410658727.html
LG G7 Fit 32GB LTE Factory Unlocked Smartphone, (Anaheim),$175,QR Code Link to This Post   LG G7 Fit Q850QM  32GB  Factory Unlocked and will work with any carrier. Both GSM and CDMA. Works internationally also. A couple scratches but works great Includes brand new charger and new case $175 obo show contact info,"['condition: excellent', 'make / manufacturer: LG', 'mobile OS: android', 'model name / number: G7 FIT Q850QM']",post id: 7411060178,posted: 2021-11-21 14:02,updated: 2021-11-27 16:24,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/stanton-lg-g7-fit-32gb-lte-factory/7411060178.html
Vintage Flip Phone - Display Phone - Store Display PROP, (Burbank),$40,QR Code Link to This Post   Vintage Flip Phone - Display Phone - Store Display  PROP  $40 each   these are brand new old stock. Store display flip phone Nokia   Great for period film Production or photo shoot music video,['mobile OS: other'],post id: 7413473772,posted: 2021-11-27 16:25,,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sfv/mob/d/burbank-vintage-flip-phone-display/7413473772.html
Like New Verizon Ellipsis 9” Tablet, (Arcadia),$40,QR Code Link to This Post   This is my sister’s barely used tablet after I gifted her an iPad…,"['condition: like new', 'make / manufacturer: Verizon', 'mobile OS: android', 'model name / number: Ellipsis 7', 'size / dimensions: 9”']",post id: 7410644343,posted: 2021-11-20 12:48,updated: 2021-11-27 16:23,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sgv/mob/d/chino-like-new-verizon-ellipsis-tablet/7410644343.html
Motorola Moto G Play (2021) - 32GB -Misty Blue (Factory Unlocked), (Anaheim),$150,"QR Code Link to This Post   Motorola Moto G Play (2021) - 32GB -Misty Blue 6.5"" screen Slightly used and still under Motorola warranty until 07/2022 Factory Unlocked and will work with any carrier Includes brand new charger No box  $150 obo show contact info","['condition: excellent', 'make / manufacturer: Motorola', 'mobile OS: android', 'model name / number: Moto G Play']",post id: 7413473332,posted: 2021-11-27 16:23,,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/stanton-motorola-moto-play-gb-misty/7413473332.html
iPhone XR 64 GB Unlocked White, (Laguna Niguel),$350,"QR Code Link to This Post   iPhone XR 64 GB Unlocked White. Excellent condition. No scratches or cracks. Works great. Battery is in great condition. Comes with brand new charger, headphones, and the original box.","['condition: like new', 'make / manufacturer: Apple', 'mobile OS: apple iOS', 'model name / number: XR']",post id: 7413468559,posted: 2021-11-27 16:08,,do NOT contact me with unsolicited services or offers,https://orangecounty.craigslist.org/mob/d/laguna-niguel-iphone-xr-64-gb-unlocked/7413468559.html
Alcatel OneTouch Pop Astro (T-Mobile), (Woodland Hills),$30,"QR Code Link to This Post   Alcatel OneTouch Pop Astro 5042T White in original box with user manual, charger and usb cable. Everything in excellent condition.  The battery is removable/replaceable. The charger and usb cable are still sealed in the original packaging. The phone is for T-Mobile (it is not unlocked). Some specs from T-Mobile's website for this model are below.  4.5"" qHD screen 1.5 Quad core processor 5MP rear facing camera, 0.3MP front facing camera 1GB RAM, 4GB ROM Supports up to 32 GB MicroSD card Micro SIM Card Android 4.4 KitKat 4G LTE LTE bands - 2,4,12 4G (HSPA+) Bands I, II, IV, V, VIII 3G / 4G (HSPA / UMTS / HSPA+) Bands I, II, IV, V, VIII 2G (GSM, GPRS, and EDGE) show contact info / 1900 HD Voice Capable VoLTE Capable Wi-Fi 802.11 b/g/n Wi-Fi web browsing Wi-Fi sharing Wi-Fi Calling 2.0 Tethering APN Micro USB Bluetooth 4.0 with A2DP Stereo audio (with headset) Audio support: AAC, AAC+, WAV, MP3, MP2, MIDI, Vorbis, APE Video support: H.263, MPEG4, H.264 HAC support: M4, T3 Multiple shooting modes Video recording","['condition: excellent', 'make / manufacturer: Alcatel', 'mobile OS: android', 'model name / number: OneTouch Pop Astro 5042T']",post id: 7412600287,posted: 2021-11-25 11:09,updated: 2021-11-27 16:06,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/sfv/mob/d/woodland-hills-alcatel-onetouch-pop/7412600287.html
Do you have water damage on your cell phone or got wet, (CHULA VISTA),$20,"QR Code Link to This Post   Did you get water damage on your cell phone device or just fall in the sink.  Bring to the Pros  Wireless Pros  show contact info  We can take apart and clean out the corrosion and water.   Turn around time is 2-3 hours we will clean corrosion off main board, clean charging port and connectors.","['condition: new', 'make / manufacturer: ALL MAKES', 'mobile OS: other', 'model name / number: ALL MODELS']",post id: 7403625083,posted: 2021-11-04 15:47,updated: 2021-11-27 15:59,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/chula-vista-do-you-have-water-damage-on/7403625083.html
Samsung original car and home charger NEW in original packaging, (Chula Vista),$15,QR Code Link to This Post   SAMSUNG Original car and home charger New in Original packaging. Includes data cable cube or car plug.  This is a OEM product 1 year warranty included.  Having issues charging your battery or phone is getting hot when charging use this product.  It will charge battery correct and will shut down once your battery reaches 100 percent. Wireless Pros store front 19 years established many in stock! Call  show contact info  or come stop in we have many accessories and Repair Center.,"['condition: new', 'make / manufacturer: SAMSUNG', 'mobile OS: android', 'model name / number: ALL']",post id: 7403628037,posted: 2021-11-04 15:54,updated: 2021-11-27 15:59,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/chula-vista-samsung-original-car-and/7403628037.html
TEMPERED GLASS Cell Phone protection, (CHULA VISTA),$10,QR Code Link to This Post   PROTECT your phone screen WITH a TEMPERED GLASS $10.00 INSTALLED FOR YOU! Call  show contact info  all models included we have parts in stock !,"['condition: new', 'make / manufacturer: all', 'mobile OS: other', 'model name / number: ALL MODELS']",post id: 7405754149,posted: 2021-11-09 12:41,updated: 2021-11-27 15:58,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/chula-vista-tempered-glass-cell-phone/7405754149.html
Do you have water damage on your cell phone or got wet, (CHULA VISTA),$20,"QR Code Link to This Post   Did you get water damage on your cell phone device or just fall in the sink.  Bring to the Pros  Wireless Pros  show contact info  We can take apart and clean out the corrosion and water.   Turn around time is 2-3 hours we will clean corrosion off main board, clean charging port and connectors.","['condition: new', 'make / manufacturer: ALL MAKES', 'mobile OS: other', 'model name / number: ALL MODELS']",post id: 7406634869,posted: 2021-11-11 12:02,updated: 2021-11-27 15:57,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/chula-vista-do-you-have-water-damage-on/7406634869.html
SAMSUNG GALAXY CELL PHONE CASES, (CHULAVISTA),$15,QR Code Link to This Post   SAMSUNG GALAXY CELL PHONE case for sale Brand new in Packaging.,"['condition: new', 'make / manufacturer: SAMSUNG', 'mobile OS: android', 'model name / number: ALL MODELS']",post id: 7406690564,posted: 2021-11-11 13:48,updated: 2021-11-27 15:57,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/chula-vista-samsung-galaxy-cell-phone/7406690564.html
TEMPERED GLASS Cell Phone protection, (CHULA VISTA),$10,QR Code Link to This Post   PROTECT your phone screen WITH a TEMPERED GLASS $10.00 INSTALLED FOR YOU!  IPHONE AND ANDROID ALL MODELS INCLUDED Call  show contact info  all models included we have parts in stock !,"['condition: new', 'make / manufacturer: all', 'mobile OS: other', 'model name / number: ALL MODELS']",post id: 7408410218,posted: 2021-11-15 12:54,updated: 2021-11-27 15:57,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/chula-vista-tempered-glass-cell-phone/7408410218.html
Do you have water damage on your cell phone or got wet, (CHULA VISTA),$20,"QR Code Link to This Post   Did you get water damage on your cell phone device or just fall in the sink.  Bring to the Pros  Wireless Pros  show contact info  We can take apart and clean out the corrosion and water.   Turn around time is 2-3 hours we will clean corrosion off main board, clean charging port and connectors.","['condition: new', 'make / manufacturer: ALL MAKES', 'mobile OS: other', 'model name / number: ALL MODELS']",post id: 7405408992,posted: 2021-11-08 16:52,updated: 2021-11-27 15:57,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/chula-vista-do-you-have-water-damage-on/7405408992.html
SAMSUNG GALAXY J6 PLUS CASE rose gold, (CHULAVISTA),$15,QR Code Link to This Post   SAMSUNG GALAXY J6 PLUS rose gold case for sale Brand new in Packaging,"['condition: new', 'make / manufacturer: SAMSUNG', 'mobile OS: android', 'model name / number: GALAXY J6']",post id: 7411869005,posted: 2021-11-23 11:36,updated: 2021-11-27 15:57,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/chula-vista-samsung-galaxy-j6-plus-case/7411869005.html
SAMSUNG GALAXY CELL PHONE CASES, (CHULAVISTA),$15,QR Code Link to This Post   SAMSUNG GALAXY CELL PHONE case for sale Brand new in Packaging.,"['condition: new', 'make / manufacturer: SAMSUNG', 'mobile OS: android', 'model name / number: ALL MODELS']",post id: 7405753737,posted: 2021-11-09 12:40,updated: 2021-11-27 15:57,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/chula-vista-samsung-galaxy-cell-phone/7405753737.html
Do you have water damage on your cell phone or got wet, (CHULA VISTA),$20,"QR Code Link to This Post   Did you get water damage on your cell phone device or just fall in the sink.  Bring to the Pros  Wireless Pros  show contact info  We can take apart and clean out the corrosion and water.   Turn around time is 2-3 hours we will clean corrosion off main board, clean charging port and connectors.","['condition: new', 'make / manufacturer: ALL MAKES', 'mobile OS: other', 'model name / number: ALL MODELS']",post id: 7403648043,posted: 2021-11-04 16:48,updated: 2021-11-27 15:57,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/chula-vista-do-you-have-water-damage-on/7403648043.html
Samsung original car and home charger NEW in original packaging, (Chula Vista),$15,QR Code Link to This Post   SAMSUNG Original car and home charger New in Original packaging. Includes data cable cube or car plug.  This is a OEM product 1 year warranty included.  Having issues charging your battery or phone is getting hot when charging use this product.  It will charge battery correct and will shut down once your battery reaches 100 percent. Wireless Pros store front 19 years established many in stock! Call  show contact info  or come stop in we have many accessories and Repair Center.,"['condition: new', 'make / manufacturer: SAMSUNG', 'mobile OS: android', 'model name / number: ALL']",post id: 7403624919,posted: 2021-11-04 15:46,updated: 2021-11-27 15:57,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/chula-vista-samsung-original-car-and/7403624919.html
"Google Pixel 3a XL Smartphone Unlocked, Purple-ish",,$210,QR Code Link to This Post   $220 or best offer  Mint condition. SEALED BOX! Never used. Still under warranty Google Pixel 3a XL UNLOCKED Purpleish 64GB,"['condition: new', 'make / manufacturer: Google', 'mobile OS: android', 'model name / number: Pixel 3a XL']",post id: 7413464802,posted: 2021-11-27 15:58,,do NOT contact me with unsolicited services or offers,https://losangeles.craigslist.org/wst/mob/d/los-angeles-google-pixel-3a-xl/7413464802.html
Apple Data Cable ORIGINAL OEM, (Chula Vista),$12,QR Code Link to This Post   APPLE DATA CABLE Original Data 3 foot Cable For All Apple phones and tablets.  Sale price only $12.00,"['condition: new', 'make / manufacturer: APPLE', 'mobile OS: apple iOS', 'model name / number: IPHONES / ANDROIDS']",post id: 7400857752,posted: 2021-10-29 10:42,updated: 2021-11-27 15:56,do NOT contact me with unsolicited services or offers,https://sandiego.craigslist.org/csd/mob/d/chula-vista-apple-data-cable-original/7400857752.html
